NAME,VEP,VEP_relative
United States,63.68,0.0
Alabama,58.89,-4.79
Alaska,56.94,-6.74
Arizona,63.6,-0.08
Arkansas,53.48,-10.2
California,62.48,-1.2
Colorado,73.12,9.44
Connecticut,67.12,3.44
Delaware,67.02,3.34
District of Columbia,63.59,-0.09
Florida,66.71,3.03
Georgia,68.26,4.58
Hawaii,50.27,-13.41
Idaho,63.61,-0.07
Illinois,59.59,-4.09
Indiana,58.66,-5.02
Iowa,70.82,7.14
Kansas,61.58,-2.1
Kentucky,62.06,-1.62
Louisiana,60.77,-2.91
Maine,72.27,8.59
Maryland,67.89,4.21
Massachusetts,67.78,4.1
Michigan,74.69,11.01
Minnesota,76.41,12.73
Mississippi,57.45,-6.23
Missouri,64.34,0.66
Montana,68.49,4.81
Nebraska,68.01,4.33
Nevada,65.8,2.12
New Hampshire,74.36,10.68
New Jersey,63.78,0.1
New Mexico,59.68,-4.0
New York,57.87,-5.81
North Carolina,70.33,6.65
North Dakota,63.1,-0.58
Ohio,65.66,1.98
Oklahoma,53.28,-10.4
Oregon,70.0,6.32
Pennsylvania,71.18,7.5
Rhode Island,62.87,-0.81
South Carolina,62.14,-1.54
South Dakota,64.52,0.84
Tennessee,57.61,-6.07
Texas,56.57,-7.11
Utah,64.16,0.48
Vermont,70.89,7.21
Virginia,71.06,7.38
Washington,70.05,6.37
West Virginia,55.49,-8.19
Wisconsin,76.37,12.69
Wyoming,61.28,-2.4
