STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,SOURCE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
United States,,"138,747,904","136,753,936",,"249,964,761",8.30%,"1,416,810","2,198,907","506,297","3,176,484","4,739,596","230,780,798",60.12%,55.51%
Alabama,AL,"2,134,061","2,123,372",http://www.alabamavotes.gov/downloads/election/2016/general/2016-Official-General-Election-Results-Certified-2016-11-29.pdf,"3,770,952",2.50%,"28,680","52,177","8,562","66,983",,"3,609,696",59.12%,56.59%
Alaska,AK,"321,271","318,608",http://www.elections.alaska.gov/results/16GENR/,"554,526",4.10%,"4,317","6,621","1,812","9,903",,"521,888",61.56%,57.94%
Arizona,AZ,"2,661,497","2,604,657",http://apps.azsos.gov/election/2016/General/Official%20Signed%20State%20Canvass.pdf,"5,347,427",9.40%,"37,582","77,373","7,500","89,185",,"4,755,584",55.97%,49.77%
Arkansas,AR,"1,137,772","1,130,635",http://results.enr.clarityelections.com/AR/63912/182850/Web01/en/summary.html,"2,287,921",3.80%,"17,242","30,881","23,792","58,636",,"2,142,344",53.11%,49.73%
California,CA,"14,610,509","14,181,595",http://www.sos.ca.gov/elections/prior-elections/statewide-election-results/general-election-november-8-2016/statement-vote/,"30,130,155",16.40%,"130,390",0,0,"130,390",,"25,058,420",58.31%,48.49%
Colorado,CO,"2,859,216","2,780,247",http://results.enr.clarityelections.com/CO/63746/182883/Web01/en/summary.html,"4,301,685",7.00%,"18,576",0,10186,"28,762",,"3,971,805",71.99%,66.47%
Connecticut,CT,"1,675,955","1,644,920",http://ctemspublic.pcctg.net/#/home,"2,827,488",7.80%,"14,475",0,3379,"17,854",,"2,589,090",64.73%,59.27%
Delaware,DE,"445,228","443,814",http://elections.delaware.gov/results/html/election.shtml,"748,217",5.70%,"6,254","15,395",387,"15,416",,"690,153",64.51%,59.51%
District of Columbia,DC,"312,575","311,268",https://www.dcboee.org/election_info/election_results/v3/2016/November-8-General-Election,"565,352",8.40%,0,0,0,0,,"517,863",60.36%,55.29%
