STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,SOURCE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
United States,US,"159,738,337",,"257,652,664",7.50%,"1,154,741","863,136","499,380","2,671,296","4,971,025","240,628,443",66.38%,62.00%
Alabama,AL,"2,325,000",https://www.sos.alabama.gov/sites/default/files/election-2020/Final%20Canvass%20of%20Results-Merged.pdf,"3,908,920",2.30%,"25,328","24,652","8,245","66,284",,"3,782,861",61.46%,59.48%
Alaska,AK,"361,400",https://www.elections.alaska.gov/results/20GENR/index.php,"553,831",3.51%,"4,578","1,268","1,003","7,263",,"529,649",68.23%,65.25%
Arizona,AZ,"3,420,585",https://azsos.gov/elections/voter-registration-historical-election-data,"5,616,003",7.87%,"34,997","37,932","6,887","92,217",,"5,133,804",66.63%,60.91%
Arkansas,AR,"1,223,675",https://results.enr.clarityelections.com/AR/106124/web.264614/#/summary,"2,313,020",3.64%,"15,850","20,733","25,852","69,213",,"2,178,328",56.17%,52.90%
California,CA,"17,785,151",https://www.sos.ca.gov/elections/prior-elections/statewide-election-results/general-election-november-3-2020/statement-vote,"30,537,209",14.57%,"97,328",0,"110,349","207,677",,"25,840,035",68.83%,58.24%
Colorado,CO,"3,295,666",https://www.sos.state.co.us/pubs/elections/resultsData.html?menuheaders=5,"4,539,740",5.83%,"14,990",0,0,"14,990",,"4,297,225",76.69%,72.60%
Connecticut,CT,"1,861,086",https://ctemspublic.pcctg.net/#/selectTown,"2,848,895",7.59%,"9,297",0,"4,080","13,377",,"2,655,214",70.09%,65.33%
Delaware,DE,"509,241",https://elections.delaware.gov/results/html/index.shtml?electionId=GE2020,"786,190",5.13%,"4,653","5,278",373,"12,030",,"745,131",68.34%,64.77%
District of Columbia,DC,"346,491",https://electionresults.dcboe.org/election_results/2020-General-Election,"544,233",7.65%,0,0,0,0,,"503,118",68.87%,63.67%
Florida,FL,"11,144,855",https://floridaelectionwatch.gov/CountyReportingStatus,"17,393,623",9.36%,"75,977","93,389","4,280","204,177",,"15,742,624",70.79%,64.07%
Georgia,GA,"5,023,159",https://results.enr.clarityelections.com/GA/107231/web.264614/#/summary,"8,207,471",5.94%,"44,796","177,546","19,447","299,832",,"7,490,838",67.06%,61.20%
Hawaii,HI,"579,784",https://elections.hawaii.gov/election-results/,"1,145,056",8.21%,"4,097",0,0,"4,097",,"1,047,466",55.35%,50.63%
Idaho,ID,"878,527",https://sos.idaho.gov/elections-division/election-results/,"1,406,979",4.00%,"7,996","14,257","5,967","32,881",,"1,352,914",64.94%,62.44%
Illinois,IL,"6,050,000",https://www.elections.il.gov/ElectionOperations/ElectionVoteTotals.aspx?T=637426684043454616,"9,906,975",7.94%,"28,582",0,0,"28,582",,"9,095,238",66.52%,61.07%
Indiana,IN,"3,068,542",https://enr.indianavoters.in.gov/site/index.html,"5,196,121",3.65%,"23,458",0,0,"23,458",,"5,025,421",61.06%,59.05%
Iowa,IA,"1,700,130",https://electionresults.iowa.gov/IA/106279/web.264614/#/summary,"2,452,858",3.12%,"8,128","12,916","7,261","32,528",,"2,360,125",72.04%,69.31%
Kansas,KS,"1,375,125",https://sos.ks.gov/elections/20elec/2020_General_Official_Vote_Totals.pdf,"2,228,116",4.67%,"8,477","8,254","5,428","24,858",,"2,112,458",65.10%,61.72%
Kentucky,KY,"2,150,954",https://elect.ky.gov/results/2020-2029/Documents/2020%20General%20Election%20Results.pdf,"3,483,046",2.53%,"18,433","28,839","14,429","71,129",,"3,339,511",64.41%,61.75%
Louisiana,LA,"2,169,401",https://voterportal.sos.la.gov/static/2020-11-03,"3,543,521",2.88%,"26,851","14,507","21,566","67,667",,"3,382,286",64.14%,61.22%
Maine,ME,"828,305",https://www.maine.gov/sos/cec/elec/results/results20.html#novtab,"1,115,787",1.92%,0,0,0,0,,"1,106,276",74.87%,74.24%
Maryland,MD,"3,066,945",https://elections.maryland.gov/county_status_page_root.html,"4,790,240",8.07%,14918,0,0,"14,918",,"4,416,326",69.45%,64.02%
