NAME,VEP,VEP_relative
United States,60.12,0.0
Alabama,59.12,-1.0
Alaska,61.56,1.44
Arizona,55.97,-4.15
Arkansas,53.11,-7.01
California,58.31,-1.81
Colorado,71.99,11.87
Connecticut,64.73,4.61
Delaware,64.51,4.39
District of Columbia,60.36,0.24
Florida,65.72,5.6
Georgia,59.85,-0.27
Hawaii,43.19,-16.93
Idaho,60.76,0.64
Illinois,62.92,2.8
Indiana,57.77,-2.35
Iowa,69.18,9.06
Kansas,59.54,-0.58
Kentucky,59.56,-0.56
Louisiana,60.67,0.55
Maine,72.84,12.72
Maryland,67.12,7.0
Massachusetts,68.12,8.0
Michigan,65.54,5.42
Minnesota,74.67,14.55
Mississippi,55.17,-4.95
Missouri,62.25,2.13
Montana,64.42,4.3
Nebraska,64.11,3.99
Nevada,57.75,-2.37
New Hampshire,72.07,11.95
New Jersey,66.38,6.26
New Mexico,54.58,-5.54
New York,57.57,-2.55
North Carolina,64.72,4.6
North Dakota,61.9,1.78
Ohio,64.02,3.9
Oklahoma,52.63,-7.49
Oregon,68.2,8.08
Pennsylvania,64.21,4.09
Rhode Island,59.78,-0.34
South Carolina,57.3,-2.82
South Dakota,60.3,0.18
Tennessee,51.87,-8.25
Texas,51.34,-8.78
Utah,58.03,-2.09
Vermont,64.77,4.65
Virginia,66.27,6.15
Washington,65.65,5.53
West Virginia,51.42,-8.7
Wisconsin,69.92,9.8
Wyoming,60.23,0.11
