NAME,VEP,VEP_relative
United States,66.38,0.0
Alabama,61.46,-4.92
Alaska,68.23,1.85
Arizona,66.63,0.25
Arkansas,56.17,-10.21
California,68.83,2.45
Colorado,76.69,10.31
Connecticut,70.09,3.71
Delaware,68.34,1.96
District of Columbia,68.87,2.49
Florida,70.79,4.41
Georgia,67.06,0.68
Hawaii,55.35,-11.03
Idaho,64.94,-1.44
Illinois,66.52,0.14
Indiana,61.06,-5.32
Iowa,72.04,5.66
Kansas,65.1,-1.28
Kentucky,64.41,-1.97
Louisiana,64.14,-2.24
Maine,74.87,8.49
Maryland,69.45,3.07
Massachusetts,71.31,4.93
Michigan,73.27,6.89
Minnesota,79.21,12.83
Mississippi,60.63,-5.75
Missouri,65.49,-0.89
Montana,71.34,4.96
Nebraska,69.06,2.68
Nevada,64.25,-2.13
New Hampshire,73.96,7.58
New Jersey,72.04,5.66
New Mexico,60.49,-5.89
New York,61.71,-4.67
North Carolina,71.0,4.62
North Dakota,63.07,-3.31
Ohio,67.08,0.7
Oklahoma,54.43,-11.95
Oregon,75.33,8.95
Pennsylvania,69.93,3.55
Rhode Island,63.09,-3.29
South Carolina,64.71,-1.67
South Dakota,65.62,-0.76
Tennessee,59.24,-7.14
Texas,59.79,-6.59
Utah,67.22,0.84
Vermont,71.25,4.87
Virginia,71.79,5.41
Washington,75.33,8.95
West Virginia,57.19,-9.19
Wisconsin,75.04,8.66
Wyoming,64.74,-1.64
